Customer,URL,State,Country - Canada,Partners,Industry,ERP,CLEAN_Update,Update Ring,Products,Platform,Canada,DataType,Data Provider,Options (Add-ons),Data Enhancement Services,CLEAN_Data Portal Transactions,Notes
College of Charleston,cofc.edu,SC,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,NCOA - Prepaid,,
College of Coastal Georgia,ccga.edu,GA,,,Higher Education,,,,DES,,,,,,NCOA,,
College of St. Scholastica,css.edu,MN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
College of the Sequoias,cos.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,"Windows, Linux",,DPV,Data Provider: Melissa,,,,
College of William and Mary,wm.edu,VA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Colorado College,coloradocollege.edu,CO,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Colorado Community College System,cccs.edu,CO,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,CLEAN_Entry,,,
Colorado Mesa University,coloradomesa.edu,CO,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Columbia State Community College,columbiastate.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Columbus State University,columbusstate.edu,GA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Community College of Baltimore County,ccbcmd.edu,MD,,,Higher Education,Banner,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Community College of Philadelphia,ccp.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Community College of Rhode Island,ccri.edu,RI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Concordia College - Minnesota,concordiacollege.edu,MN,,,Higher Education,Banner,,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Concordia University - Chicago,cuchicago.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,"NCOA,Phone Append",,
Concordia University - Irvine,cui.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Concordia University - Nebraska,cune.edu,NE,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Concordia University - St Paul,csp.edu,MN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Concordia University - Texas,concordia.edu,TX,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
Concordia University - Wisconsin,cuw.edu,WI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA,,
Connecticut College,conncoll.edu,CT,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Connecticut State Colleges & Universities,ct.edu,CT,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Contra Costa County,ccclib.org,CA,,,Government,PeopleSoft,"Linux 64-bit,Windows 64-bit",,CLEAN_Address - USPS,"Windows, Linux",,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Coppin State University,coppin.edu,MD,,,Higher Education,PeopleSoft,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Cornell University,cornell.edu,NY,,,Higher Education,PeopleSoft,Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,,,,
Corporation for National and Community Service,nationalservice.gov,DC,,,Public Administration,,Windows 64-bit,Quarterly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,GeoCoder,,,
County of San Mateo,smcgov.org,CA,,,Government,,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Cuesta College,cuesta.edu,CA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Curry College,curry.edu,MA,,,Higher Education,Salesforce,,,Salesforce - US & CAN,,,,Data Provider: Melissa,,,,
Cuyahoga Community College,tri-c.edu,OH,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Delaware County Community College,dccc.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Delaware Technical Community College,dtcc.edu,DE,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Delta State University,deltastate.edu,MS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,"NCOA - Prepaid,Phone - Prepaid,Email - Prepaid,MCOA - Prepaid",,
Department of Industry Relations,dir.ca.gov,CA,,,Government,Oracle,Linux 64-bit,,CLEAN_Address - USPS,"Solaris, Linux",,DPV,Data Provider: Melissa,AddressDoctor International,,,
DePaul University,depaul.edu,IL,,,Higher Education,"PeopleSoft, Advance","Linux 64-bit,Windows 64-bit",,CLEAN_Address - USPS,"Linux, Windows",,DPV,Data Provider: Melissa,AddressDoctor International,,,
Des Moines Area Community College,dmacc.edu,IA,,,Higher Education,Banner,"Windows 64-bit,Linux 64-bit",,CLEAN_Address - USPS,"Windows, Linux",,DPV,Data Provider: Melissa,,,,
Dickinson College,dickinson.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Doane University,doane.edu,NE,,,Higher Education,Colleague,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Drake University,drake.edu,IA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Drew University,drew.edu,NJ,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,CLEAN_Entry,,,
Drexel University,drexel.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
DuPage County Information Technology,dupageco.org,IL,,,Public Administration,MicroSoft SQL,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,Reference
Durham College,durhamcollege.ca,ON,Canada,,Higher Education,Banner,Linux 64-bit,Monthly,CLEAN_Address - CAN,Linux,Canada - Unix,NO DPV,Data Provider: Melissa,,,,
Dyersburg State Community College,dscc.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
DZS Inc.,dzsi.com,CA,,,Communications,,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
East Carolina University,ecu.edu,NC,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
East Stroudsburg University,esu.edu,PA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
East Tennessee State University,etsu.edu,TN,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Eastern Florida State College,easternflorida.edu,FL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Eastern Illinois University,eiu.edu,IL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Eastern Michigan University,emich.edu,MI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Eastern Oregon University,eou.edu,OR,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,NCOA - Prepaid,,
Eastman Credit Union,ecu.org,WA,,ASCEN,Credit Union,Credit Union,,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Elizabeth City State University,ecsu.edu,NC,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Ellucian (Consultants),ellucian.com,,,,Software,Banner,"Linux 64-bit,Windows 64-bit",,CLEAN_Address - USPS,,,,Data Provider: Melissa,,,,
Emerson College,emerson.edu,MA,,,Higher Education,Banner,Linux 64-bit,,"CLEAN_Address - USPS,CLEAN_Cloud",Linux,,DPV,Data Provider: Melissa,AddressDoctor International,,,
Emory University,emory.edu,GA,,,Higher Education,PeopleSoft,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Emporia State University,emporia.edu,KS,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Entrust,entrust.com,MN,,,Services,E-Business Suite,Linux 64-bit,Monthly,"CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,,,,
Equifax (Old name...Appriss Insight LLC),equifax.com,GA,,,Software,,Linux 64-bit,"Quarterly,Monthly","CLEAN_Address - USPS,CLEAN_Address - CAN",Linux,Canada - Unix,DPV,Data Provider: Melissa,"Canada GeoCoding,GeoCoder",,,
Evansville Teachers Federal Credit Union,etfcu.org,WA,,ASCEN,Credit Union,,,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA,,
Fairmont State University,fairmontstate.edu,WV,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Fashion Institute of Technology,fitnyc.edu,NY,,,Higher Education,Banner,Windows 64-bit,,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,,,
Ferris State University,ferris.edu,MI,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
First Tech Federal Credit Union,firsttechfed.com,WA,,ASCEN,Credit Union,Credit Union,,Monthly,CLEAN_Address - USPS,Windows,,DPV,Data Provider: Melissa,,NCOA,,
Fitchburg State University,fitchburgstate.edu,MA,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
Florida Atlantic University,fau.edu,FL,,,Higher Education,Banner,Linux 64-bit,,CLEAN_Address - USPS,Linux,,DPV,Data Provider: Melissa,,,,
